N Time Angle(rd) Wz(rd/s)
283 154389434 -0.0384426 -0.0489465
284 154903038 0 0
285 155400742 -0.00900877 -0.0114703
286 155880221 -0.0462633 -0.0589041
287 156389510 -0.00909066 -0.0115746
288 156859103 0 0
289 157352693 0 0
290 157832670 -0.0520363 -0.0662545
291 158328800 -0.0183466 -0.0233595
292 158855141 0.00909066 0.0115746
293 159355511 0 0
294 159858731 -0.00892833 -0.0113679
295 160370415 -0.0360205 -0.0458626
296 160892682 -0.0201993 -0.0257185
297 161398057 0 0
298 161879027 0 0
299 162385573 0 0
300 162886405 0 0
301 163381671 -0.0341747 -0.0435125
302 163880863 -0.00925899 -0.0117889
303 164388556 -0.0258563 -0.0329212
304 164904148 0.019415 0.0247199
305 165382310 -0.0206156 -0.0262486
306 165897429 -0.00869543 -0.0110713
307 166408475 -0.0176973 -0.0225328
308 166922600 -0.0101007 -0.0128605
309 167423725 0.0624188 0.0794739
310 167927865 0 0
311 168423904 -0.00900877 -0.0114703
312 168929155 0.00934552 0.0118991
313 169428590 -0.0438316 -0.0558079
314 169889927 -0.166583 -0.2121
315 170351513 -0.137066 -0.174518
316 170746965 -0.115276 -0.146774
317 171148179 -0.143158 -0.182274
318 171554516 -0.126973 -0.161666
319 172017283 -0.129703 -0.165142
320 172504585 -0.141897 -0.180669
321 172952498 -0.103082 -0.131247
322 173437779 -0.13944 -0.17754
323 173847502 -0.0961934 -0.122477
324 174303680 -0.121842 -0.155134
325 174721383 -0.129275 -0.164598
326 175206372 -0.0774311 -0.0985881
327 175694625 2.88097e-05 3.66816e-05
328 176174446 -0.13944 -0.17754
329 176653229 -0.110657 -0.140893
330 177147638 -0.103972 -0.13238
331 177601483 -0.118092 -0.150359
332 178080277 -0.123266 -0.156946
333 178540773 -0.112566 -0.143323
334 179018806 -0.112566 -0.143323
335 179498619 -0.114541 -0.145837
336 179929457 -0.125464 -0.159745
337 180410986 -0.120109 -0.152927
338 180885153 -0.130827 -0.166574
339 181378250 -0.0871573 -0.110972
340 181782729 -0.119092 -0.151632
341 182287314 -0.0682698 -0.0869236
342 182674876 -0.101347 -0.129038
343 183146442 -0.0859943 -0.109491
344 183599945 -0.103972 -0.13238
345 184057520 -0.103972 -0.13238
346 184512733 -0.0852629 -0.10856
347 184991918 -0.0838366 -0.106744
348 185448189 -0.0937415 -0.119355
349 185922154 -0.067693 -0.0861892
350 186419932 -0.096784 -0.123229
351 186964424 -0.0929517 -0.11835
352 187487228 -0.0665682 -0.084757
353 188026989 -0.0540015 -0.0687567
354 188523648 -0.0732631 -0.0932813
355 189059845 -0.00999967 -0.0127319
356 189570406 -0.0782711 -0.0996577
357 190083110 -0.0373658 -0.0475755
358 190622799 -0.0549904 -0.0700158
359 191101821 -0.00925899 -0.0117889
360 191582911 -0.00917405 -0.0116807
361 192067480 0 0
362 192616190 -0.0172397 -0.0219502
363 193113067 0.0366808 0.0467033
364 193598662 -0.00999967 -0.0127319
365 194136375 -0.0315685 -0.0401941
366 194650848 -0.0270205 -0.0344034
367 195179054 -0.00970843 -0.0123611
368 195728618 0.00952352 0.0121257
369 196259162 0 0
370 196769019 -0.0186894 -0.023796
371 197308953 -0.0087717 -0.0111685
372 197860911 -0.00961509 -0.0122423
373 198419498 -0.0270205 -0.0344034
374 198961156 -0.00862048 -0.0109759
375 199455962 -0.00934552 -0.0118991
376 199996481 -0.0087717 -0.0111685
377 200549723 -0.00925899 -0.0117889
378 201059449 -0.0347686 -0.0442686
379 201560750 -0.0302938 -0.0385711
380 202062063 0 0
381 202583480 -0.026081 -0.0332073
382 203121585 0 0
383 203665734 0 0
384 204220757 -0.00900877 -0.0114703
385 204769846 -0.0356991 -0.0454534
386 205309769 0.02803 0.0356889
387 205883504 -0.0197994 -0.0252093
388 206424996 -0.0471349 -0.0600138
389 206983572 -0.0380768 -0.0484808
390 207526608 0 0
391 208088220 -0.00917405 -0.0116807
392 208621460 -0.0175421 -0.0223352
393 209158012 -0.0263097 -0.0334985
394 209686167 -0.027266 -0.034716
395 210263146 -0.00970843 -0.0123611
396 210846526 -0.0190453 -0.0242492
397 211398516 -0.0270205 -0.0344034
398 211950040 0 0
399 212499354 -0.0458394 -0.0583644
400 213048374 -0.00909066 -0.0115746
401 213597295 -0.0170924 -0.0217626
402 214131966 -0.0087717 -0.0111685
403 214673303 0 0
404 215223566 -0.02803 -0.0356889
405 215756499 -0.0185164 -0.0235758
406 216293580 -0.00943368 -0.0120113
407 216822999 -0.0263097 -0.0334985
408 217355967 0 0
409 217892084 0 0
410 218425427 -0.026081 -0.0332073
411 218946167 -0.0229845 -0.0292647
412 219492950 0.188738 0.240308
413 220000485 -0.00925899 -0.0117889
414 220538646 0.0176973 0.0225328
415 221060709 0.00892833 0.0113679
416 221585843 0 0
417 222118627 0 0
418 222634401 0 0
419 223105202 0.0423476 0.0539184
420 223584549 -0.00892833 -0.0113679
421 224037916 -0.0176973 -0.0225328
422 224499091 0 0
423 224972422 -0.0175421 -0.0223352
424 225473069 0.207496 0.264192
425 225914932 0.126973 0.161666
426 226399744 0.0855053 0.108868
427 226872394 0.310998 0.395974
428 227403722 0 0
429 227941916 0.065942 0.0839598
430 228479115 0.07983 0.101642
