#N Time vx wz 
733 330000 0 0
734 330000 0 0
735 330000 0 0
736 330000 0 0
737 330000 0 0
738 330000 0 0
739 330000 0 0
740 330000 0 0
741 330000 0 0
742 330000 0 0
743 330000 0 0
744 330000 0 0
745 330000 0 0
746 330000 0 0
747 330000 0 0
748 330000 0 0
749 330000 0 0
750 330000 0 0
751 330000 0 0
752 330000 0 0
753 330000 0 0
754 330000 0 0
755 330000 0 0
756 330000 0 0
757 340000 0 0
758 340000 0 0
759 340000 0 0
760 340000 0 0
761 340000 0 0
762 340000 0 0
763 340000 0 0
764 340000 0 0
765 340000 0 0
766 340000 0 0
767 340000 0 0
768 340000 0 0
769 340000 0 0
770 340000 0 0
771 340000 0 0
772 340000 0 0
773 340000 0 0
774 340000 0 0
775 340000 0 0
776 340000 0 0
777 350000 0 0
778 350000 0 0
779 350000 0 0
780 350000 0 0
781 350000 0 0
782 350000 0 0
783 350000 0 0
784 350000 0 0
785 350000 0 0
786 350000 0 0
787 350000 0 0
788 350000 0 0
789 350000 0 0
790 350000 0 0
791 350000 0 0
792 360000 0 0
793 360000 0 0
794 360000 0 0
795 360000 0 0
796 360000 0 0
797 360000 0 0
798 360000 0 0
799 360000 0 0
800 360000 0 0
801 360000 0 0
802 360000 0 0
803 360000 0 0
804 360000 0 0
805 360000 0 0
806 360000 0 0
807 360000 0 0
808 360000 0 0
809 360000 0 0
810 360000 0 0
811 360000 0 0
812 360000 0 0
813 360000 0 0
814 360000 0 0
815 360000 0 0
816 360000 0 0
817 360000 0 0
818 360000 0 0
819 360000 0 0
820 360000 0 0
821 360000 0 0
822 360000 0 0
823 360000 0 0
824 360000 0 0
825 360000 0 0
826 360000 0 0
827 360000 0 0
828 360000 0 0
829 370000 0 0
830 370000 0 0
831 370000 0 0
832 380000 0 0
833 380000 0 0
834 380000 0 0
835 380000 0 0
836 380000 0 0
837 380000 0 0
838 380000 0 0
839 380000 0 0
840 380000 0 0
841 380000 0 0
842 380000 0 0
843 380000 0 0
844 380000 0 0
845 380000 0 0
846 380000 0 0
847 380000 0 0
848 380000 0 0
849 380000 0 0
850 380000 0 0
851 380000 0 0
852 380000 0 0
853 380000 0 0
854 380000 0 0
855 380000 0 0
856 390000 0 0
857 390000 0 0
858 390000 0 0
859 390000 0 0
860 390000 0 0
861 390000 0 0
862 390000 0 0
863 390000 0 0
864 390000 0 0
865 390000 0 0
866 390000 0 0
867 390000 0 0
868 390000 0 0
869 390000 0 0
870 390000 0 0
871 390000 0 0
872 390000 0 0
873 390000 0 0
874 390000 0 0
875 390000 0 0
876 390000 0 0
877 390000 0 0
878 390000 0 0
879 390000 0 0
880 390000 0 0
881 390000 0 0
882 390000 0 0
883 390000 0 0
884 390000 0 0
885 390000 0 0
886 390000 0 0
887 390000 0 0
888 390000 0 0
889 390000 0 0
890 390000 0 0
891 400000 0 0
892 400000 0 0
893 400000 0 0
894 400000 0 0
895 400000 0 0
896 400000 0 0
897 400000 0 0
898 410000 0 0
899 410000 0 0
900 410000 0 0
901 410000 0 0
902 410000 0 0
903 410000 0 0
904 410000 0 0
905 410000 0 0
906 410000 0 0
907 410000 0 0
908 410000 0 0
909 410000 0 0
910 410000 0 0
911 410000 0 0
912 410000 0 0
913 410000 0 0
914 410000 0 0
915 410000 0 0
916 420000 0 0
917 420000 0 0
918 420000 0 0
919 420000 0 0
920 420000 0 0
921 420000 0 0
922 420000 0 0
923 420000 0 0
924 420000 0 0
925 420000 0 0
926 420000 0 0
927 420000 0 0
928 420000 0 0
929 420000 0 0
930 420000 0 0
931 420000 0 0
932 420000 0 0
933 420000 0 0
934 420000 0 0
935 420000 0 0
936 420000 0 0
937 420000 0 0
938 430000 0 0
939 430000 0 0
940 430000 0 0
941 430000 0 0
942 430000 0 0
943 430000 0 0
944 430000 0 0
945 430000 0 0
946 430000 0 0
947 430000 0 0
948 430000 0 0
949 430000 0 0
950 430000 0 0
951 430000 0 0
952 430000 0 0
953 430000 0 0
954 430000 0 0
955 430000 0 0
956 430000 0 0
957 430000 0 0
958 430000 0 0
959 430000 0 0
960 430000 0 0
961 430000 0 0
962 430000 0 0
963 430000 0 0
964 430000 0 0
965 430000 0 0
966 430000 0 0
967 430000 0 0
968 430000 0 0
969 440000 0 0
970 440000 0 0
971 440000 0 0
972 440000 0 0
973 440000 0 0
974 440000 0 0
975 440000 0 0
976 440000 0 0
977 440000 0 0
978 440000 0 0
979 440000 0 0
980 440000 0 0
981 440000 0 0
982 440000 0 0
983 440000 0 0
984 440000 0 0
985 440000 0 0
986 440000 0 0
987 440000 0 0
988 440000 0 0
989 440000 0 0
990 440000 0 0
991 440000 0 0
992 440000 0 0
993 440000 0 0
994 450000 0 0
995 450000 0 0
996 450000 0 0
997 450000 0 0
998 450000 0 0
999 450000 0 0
1000 450000 0 0
1001 450000 0 0
1002 450000 0 0
1003 450000 0 0
1004 450000 0 0
1005 460000 0 0
1006 460000 0 0
1007 460000 0 0
1008 460000 0 0
1009 460000 0 0
1010 460000 0 0
